group,name,anatomy,modality,targets,link,link_type,worksheet,row
CT,StructSeg,Head and Neck,CT,22 OAR Head & Neck Nasopharynx Cancer 6 OAR Lung,https://structseg2019.grand-challenge.org,Dataset,participants,46
CT,STS-3D-Tooth,Oral,CBCT,tooth,https://zenodo.org/records/10597292,Dataset,organizers,143
CT,TCGA-HNSC,Head and Neck,CT,Head-neck cancer,https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS,Dataset,organizers,108
CT,ToothFairy 2,Head and Neck,CT,Dental Structures,https://ditto.ing.unimore.it/toothfairy2/,Dataset,participants,66
CT,TopCoW24,Brain,CTA,vessel,https://topcow24.grand-challenge.org/,Dataset,organizers,124
CT,TotalSegmentator,WholeBody,CT,Whole body organs,https://zenodo.org/records/10047292,Dataset,organizers,25
CT,USL,"Chest, Abdomen, Pelvis",CT,lesion,https://github.com/MJJdG/ULS23/tree/main,Dataset,organizers,113
CT,VERSE20,Spine,CT,Vertebrae,https://github.com/anjany/verse?tab=readme-ov-file,Dataset,organizers,115
CT,VESSEL12,Chest,CT,Lung Vessel,https://www.kaggle.com/datasets/andrewmvd/lung-vessel-segmentation,Dataset,organizers,116
CT,WAW-TCE,Abdomen,CT,Liver Tumor,https://zenodo.org/records/12741586,Dataset,organizers,158
CT,WORD,Abdomen,CT,Abdomen organs,https://github.com/HiLab-git/WORD,Dataset,organizers,117
MRI,ACDC,Chest,MR,"Right Ventricle, Left Ventricle, Myocardium",https://humanheart-project.creatis.insa-lyon.fr/database/#collection/637218c173e9f0047faa00fb,Dataset,organizers,31
MRI,AMOS,Abdomen,MR,Abdominal organs,https://amos22.grand-challenge.org/,Dataset,organizers,28
MRI,Aphasia Recovery Cohort (ARC) Dataset,Head and Neck,MR,brain lesion,https://openneuro.org/datasets/ds004884/versions/1.0.1/download,Dataset,participants,23
MRI,Atlas Bourgogne,Abdomen,MR,"Liver, Tumor",https://atlas-challenge.u-bourgogne.fr,Dataset,participants,61
MRI,BONBID-HIE,Head,MR,Hypoxic ischemic encephalopathy lesions,https://zenodo.org/records/10602767,Dataset,organizers,147
MRI,Brain TR-GammakKnife,Brain,MR,brain lesion,https://doi.org/10.7937/xb6d-py67,Dataset,organizers,56
MRI,BrainMetShare,Head and Neck,MR,Brain tumors,https://aimi.stanford.edu/brainmetshare,Dataset,participants,24
MRI,BrainPTM,Brain,MR-T1,White matter tracts,https://brainptm-2021.grand-challenge.org/Participation/,Dataset,organizers,57
MRI,BraTS,Head,"MR-T1, T1Gd, T2, FLAIR",Brain Lesion,http://braintumorsegmentation.org/,Dataset,organizers,29
MRI,CAP,Heart,MR,Left Ventricle,https://www.cardiacatlas.org/lv-segmentation-challenge/,Dataset,participants,58
MRI,cDEMRIS,Heart,CMR,Left atrial wall,https://figshare.com/articles/dataset/CDEMRIS_fibrosis_scar_challenge_data_2012/4214532,Dataset,participants,2
MRI,CHAOS,Abdomen,MR,Abdomen organs,https://zenodo.org/records/3431873,Dataset,organizers,32
MRI,CrossMoDA,Brain,MR-T1-T2,"Tumor, Cochlea",https://crossmoda-challenge.ml/,Dataset,organizers,33
MRI,Duke-Liver,Abdomen,MR,Liver,https://zenodo.org/records/7774566,Dataset,organizers,72
MRI,EMIDEC,Heart,MRI,Left-ventricular-cavity normal-myocardium myocardial infarction no-reflow,https://emidec.com,Dataset,organizers,166
MRI,FaBiAN v2.0,—,MR,—,https://zenodo.org/records/10940427,Dataset,organizers,164
MRI,FeTA,Brain,MR,Brain organs,https://www.synapse.org/#!Synapse:syn25649159/wiki/610007,Dataset,organizers,73
MRI,Figshare Brain Tumor Dataset,Brain,MR-T1ce,meningioma; glioma; pituitary tumor,https://www.kaggle.com/datasets/ashkhagan/figshare-brain-tumor-dataset,Dataset,organizers,75
MRI,GammaKnife-Hippocampal,Brain,MR,brain organ,https://doi.org/10.7937/Q967-X166,Dataset,organizers,77
MRI,GBM-Reservoir,Brain,"MR (FLAIR, T1, T1ce, T2)","brain tumor (Enhancing tumor, Tumor core, Complete tumor extent/whole tumor)",https://figshare.com/articles/dataset/GBM-Reservoir_Dataset_and_Segmentations/28001450,Dataset,organizers,167
MRI,Hippo,hippocampus,MR,"hippocampal formation subfields (ERC, SUB, CA1, DG-CA4, CA2, CA3, the hippocampal tail)",https://plus.figshare.com/articles/dataset/A_paired_dataset_of_multi-modal_MRI_at_3_Tesla_and_7_Tesla_with_manual_hippocampal_subfield_segmentations_on_7T_T2-weighted_images/26075713/1,Dataset,organizers,139
MRI,HNTSMRG,Head,MR,Tumor,https://zenodo.org/records/11199559,Dataset,organizers,34
